Year,Type,Activity,Sex,Age,Fatality
2018.0,Invalid,Surfing,M,48,N
2018.0,Unprovoked,Surfing,M,,N
2018.0,Unprovoked,Swimming,M,18,Y
2018.0,Unprovoked,Swimming,M,10,N
2018.0,Unprovoked,Surfing,M,,N
2018.0,Unprovoked,Swimming,M,,N
2018.0,Unprovoked,Surfing,M,,N
2018.0,Unprovoked,Surfing,M,60,N
2018.0,Unprovoked,Surfing,M,,N
2018.0,Unprovoked,Swimming,M,54,N
2018.0,Unprovoked,Surfing,M,41,N
2018.0,Unprovoked,Surfing,M,37,N
2018.0,Unprovoked,Surfing,M,,N
2018.0,Unprovoked,Swimming,M,12,N
2018.0,Unprovoked,Surfing,M,19,N
2018.0,Unprovoked,Swimming,M,69,N
2018.0,Unprovoked,Surfing,M,18,N
2018.0,Unprovoked,Swimming,F,55,N
2018.0,Invalid,Swimming,F,,N
2018.0,Unprovoked,Snorkeling,M,45,N
2018.0,Unprovoked,Diving,M,,N
2018.0,Unprovoked,Surfing,M,20,N
2018.0,Unprovoked,Surfing,M,,N
2017.0,Unprovoked,Surfing,F,54,N
2017.0,Unprovoked,Surfing,F,35,N
2017.0,Unprovoked,Snorkeling,F,25,N
2017.0,Unprovoked,Surfing,F,14,N
2017.0,Unprovoked,Surfing,M,24,N
2017.0,Unprovoked,Surfing,M,25,N
2017.0,Unprovoked,Snorkeling,M,7,N
2017.0,Unprovoked,Surfing,M,31,N
2017.0,Unprovoked,Swimming,M,,N
2017.0,Unprovoked,Swimming,F,60,N
2017.0,Unprovoked,Swimming,M,,N
2017.0,Unprovoked,Surfing,M,54,N
2017.0,Unprovoked,Snorkeling,F,40,N
2017.0,Unprovoked,Surfing,M,,N
2017.0,Unprovoked,Surfing,M,,N
2017.0,Unprovoked,Surfing,M,,N
2017.0,Unprovoked,Surfing,M,,N
2017.0,Unprovoked,Surfing,M,28,N
2017.0,Unprovoked,Surfing,M,18,N
2017.0,Unprovoked,Swimming,M,,N
2017.0,Unprovoked,Surfing,M,35,N
2017.0,Unprovoked,Surfing,M,42,N
2017.0,Unprovoked,Swimming,M,,N
2017.0,Unprovoked,Swimming,F,,N
2017.0,Unprovoked,Surfing,M,17,N
2017.0,Unprovoked,Surfing,M,37,N
2017.0,Unprovoked,Swimming,M,13,N
2017.0,Unprovoked,Snorkeling,F,20,N
2017.0,Unprovoked,Snorkeling,F,,N
2017.0,Unprovoked,Surfing,M,37,N
2017.0,Unprovoked,Swimming,F,,N
2017.0,Unprovoked,Surfing,M,,N
2017.0,Unprovoked,Surfing,M,,N
2017.0,Unprovoked,Swimming,M,46,N
2017.0,Unprovoked,Surfing,F,13,N
2017.0,Unprovoked,Swimming,F,16,N
2017.0,Unprovoked,Surfing,M,,N
2017.0,Unprovoked,Swimming,F,14,N
2017.0,Unprovoked,Swimming,M,82,N
2017.0,Unprovoked,Surfing,M,,N
2017.0,Unprovoked,Surfing,F,,N
2017.0,Unprovoked,Surfing,M,19,N
2017.0,Unprovoked,Snorkeling,F,32,N
2017.0,Unprovoked,Snorkeling,M,33,Y
2017.0,Unprovoked,Swimming,F,,N
2017.0,Unprovoked,Surfing,M,14,N
2017.0,Unprovoked,Surfing,F,33,N
2017.0,Unprovoked,Snorkeling,F,40,N
2017.0,Unprovoked,Surfing,F,17,Y
2017.0,Unprovoked,Surfing,M,28,N
2017.0,Unprovoked,Surfing,M,17,N
2017.0,Unprovoked,Surfing,F,,N
2017.0,Unprovoked,Surfing,F,35,N
2017.0,Unprovoked,Swimming,F,21,N
2017.0,Unprovoked,Swimming,M,16,N
2017.0,Unprovoked,Swimming,F,51,N
2017.0,Unprovoked,Swimming,F,17,N
2017.0,Unprovoked,Surfing,M,58,N
2017.0,Unprovoked,Snorkeling,F,,N
2017.0,Unprovoked,Surfing,M,,N
2017.0,Unprovoked,Swimming,M,22,N
2017.0,Unprovoked,Swimming,M,21,N
2017.0,Unprovoked,Swimming,M,57,N
2017.0,Unprovoked,Surfing,M,48,N
2016.0,Unprovoked,Surfing,M,16,N
2016.0,Unprovoked,Snorkeling,F,,N
2016.0,Unprovoked,Surfing,M,65,N
2016.0,Unprovoked,Surfing,M,41,N
2016.0,Unprovoked,Surfing,M,42,N
2016.0,Unprovoked,Surfing,M,36,N
2016.0,Unprovoked,Surfing,M,36,N
2016.0,Unprovoked,Surfing,M,,N
2016.0,Unprovoked,Snorkeling,F,66,N
2016.0,Unprovoked,Surfing,M,25,N
2016.0,Unprovoked,Surfing,M,29,N
2016.0,Unprovoked,Surfing,M,21,N
2016.0,Unprovoked,Surfing,M,17,N
2016.0,Unprovoked,Surfing,M,16,N
2016.0,Unprovoked,Surfing,M,36,N
2016.0,Unprovoked,Surfing,M,43,N
2016.0,Unprovoked,Surfing,M,43,N
2016.0,Unprovoked,Surfing,M,,N
2016.0,Unprovoked,Surfing,M,,N
2016.0,Unprovoked,Swimming,F,51,N
2016.0,Unprovoked,Surfing,M,,N
2016.0,Unprovoked,Surfing,M,25,N
2016.0,Unprovoked,Surfing,M,37,N
2016.0,Unprovoked,Surfing,M,20,N
2016.0,Unprovoked,Snorkeling,M,15,N
2016.0,Unprovoked,Surfing,M,22,N
2016.0,Unprovoked,Swimming,M,40,N
2016.0,Unprovoked,Swimming,M,72,N
2016.0,Unprovoked,Surfing,M,18,N
2016.0,Unprovoked,Surfing,M,29,N
2016.0,Unprovoked,Surfing,M,36,N
2016.0,Unprovoked,Surfing,F,9,N
2016.0,Unprovoked,Swimming,M,,N
2016.0,Unprovoked,Swimming,F,42,N
2016.0,Unprovoked,Surfing,M,11,N
2016.0,Unprovoked,Surfing,M,,N
2016.0,Unprovoked,Swimming,M,64,N
2016.0,Unprovoked,Diving,F,60,Y
2016.0,Unprovoked,Swimming,M,23,N
2016.0,Unprovoked,Surfing,M,29,Y
2016.0,Unprovoked,Swimming,F,52,N
2016.0,Unprovoked,Swimming,M,13,N
2016.0,Unprovoked,Swimming,F,57,N
2016.0,Unprovoked,Swimming,F,22,N
2016.0,Unprovoked,Swimming,F,11,N
2016.0,Unprovoked,Swimming,M,48,N
2016.0,Unprovoked,Surfing,M,24,N
2016.0,Unprovoked,Surfing,M,15,N
2016.0,Unprovoked,Swimming,M,12,N
2016.0,Unprovoked,Snorkeling,F,46,N
2016.0,Unprovoked,Surfing,M,22,N
2016.0,Unprovoked,Surfing,M,41,N
2016.0,Unprovoked,Swimming,M,41,N
2016.0,Unprovoked,Swimming,M,41,N
2016.0,Unprovoked,Surfing,M,,N
2016.0,Unprovoked,Surfing,F,15,N
2016.0,Unprovoked,Surfing,M,,N
2015.0,Unprovoked,Swimming,F,38,N
2015.0,Unprovoked,Surfing,M,43,N
2015.0,Unprovoked,Snorkeling,M,55,N
2015.0,Unprovoked,Surfing,M,,N
2015.0,Unprovoked,Swimming,F,,N
2015.0,Unprovoked,Surfing,M,28,N
2015.0,Unprovoked,Surfing,M,20,N
2015.0,Unprovoked,Swimming,M,54,N
2015.0,Unprovoked,Surfing,M,42,N
2015.0,Unprovoked,Surfing,M,21,N
2015.0,Unprovoked,Surfing,M,21,N
2015.0,Unprovoked,Swimming,M,44,N
2015.0,Unprovoked,Surfing,M,25,N
2015.0,Unprovoked,Surfing,M,18,N
2015.0,Unprovoked,Surfing,M,14,N
2015.0,Unprovoked,Surfing,M,22,N
2015.0,Unprovoked,Snorkeling,F,7,N
2015.0,Unprovoked,Surfing,M,14,N
2015.0,Unprovoked,Swimming,M,,N
2015.0,Unprovoked,Surfing,M,20,N
2015.0,Unprovoked,Surfing,M,42,N
2015.0,Unprovoked,Surfing,F,54,N
2015.0,Unprovoked,Surfing,M,21,N
2015.0,Unprovoked,Surfing,M,38,N
2015.0,Unprovoked,Surfing,M,15,N
2015.0,Unprovoked,Surfing,M,52,N
2015.0,Unprovoked,Surfing,M,47,N
2015.0,Unprovoked,Surfing,M,25,N
2015.0,Unprovoked,Surfing,M,40,N
2015.0,Unprovoked,Surfing,M,45,N
2015.0,Unprovoked,Surfing,M,34,N
2015.0,Unprovoked,Surfing,M,38,N
2015.0,Unprovoked,Surfing,M,52,N
2015.0,Unprovoked,Swimming,M,68,N
2015.0,Unprovoked,Surfing,M,,N
2015.0,Unprovoked,Swimming,M,18,N
2015.0,Unprovoked,Surfing,M,23,N
2015.0,Provoked,Swimming,M,19,N
2015.0,Unprovoked,Swimming,M,6,N
2015.0,Invalid,Surfing,F,37,N
2015.0,Unprovoked,Swimming,M,10,N
2015.0,Unprovoked,Surfing,M,47,N
2015.0,Unprovoked,Swimming,F,13,N
2015.0,Unprovoked,Surfing,M,18,N
